Pt_date,Product,Tenor,Date
2024-04-30,SCL,3,2022-12-31
2024-04-30,SCL,3,2023-01-31
2024-04-30,SCL,3,2023-02-28
2024-04-30,SCL,3,2023-03-31
2024-04-30,SCL,3,2023-04-30
2024-04-30,SCL,3,2023-05-31
2024-04-30,SCL,3,2023-06-30
2024-04-30,SCL,3,2023-07-31
2024-04-30,SCL,3,2023-08-31
2024-04-30,SCL,3,2023-09-30
2024-04-30,SCL,3,2023-10-31
2024-04-30,SCL,3,2023-11-30
2024-04-30,SCL,3,2023-12-31
2024-04-30,SCL,3,2024-01-31
2024-04-30,SCL,3,2024-02-29
2024-04-30,SCL,3,2024-03-31
2024-04-30,SCL,3,2024-04-30
2024-04-30,SCL,6,2022-05-31
2024-04-30,SCL,6,2022-06-30
2024-04-30,SCL,6,2022-07-31
2024-04-30,SCL,6,2022-08-31
2024-04-30,SCL,6,2022-09-30
2024-04-30,SCL,6,2022-10-31
2024-04-30,SCL,6,2022-11-30
2024-04-30,SCL,6,2022-12-31
2024-04-30,SCL,6,2023-01-31
2024-04-30,SCL,6,2023-02-28
2024-04-30,SCL,6,2023-03-31
2024-04-30,SCL,6,2023-04-30
2024-04-30,SCL,6,2023-05-31
2024-04-30,SCL,6,2023-06-30
2024-04-30,SCL,6,2023-07-31
2024-04-30,SCL,6,2023-08-31
2024-04-30,SCL,6,2023-09-30
2024-04-30,SCL,6,2023-10-31
2024-04-30,SCL,6,2023-11-30
2024-04-30,SCL,6,2023-12-31
2024-04-30,SCL,6,2024-01-31
2024-04-30,SCL,6,2024-02-29
2024-04-30,SCL,6,2024-03-31
2024-04-30,SCL,6,2024-04-30
2024-04-30,SCL,12,2022-05-31
2024-04-30,SCL,12,2022-06-30
2024-04-30,SCL,12,2022-07-31
2024-04-30,SCL,12,2022-08-31
2024-04-30,SCL,12,2022-09-30
2024-04-30,SCL,12,2022-10-31
2024-04-30,SCL,12,2022-11-30
2024-04-30,SCL,12,2022-12-31
2024-04-30,SCL,12,2023-01-31
2024-04-30,SCL,12,2023-02-28
2024-04-30,SCL,12,2023-03-31
2024-04-30,SCL,12,2023-04-30
2024-04-30,SCL,12,2023-05-31
2024-04-30,SCL,12,2023-06-30
2024-04-30,SCL,12,2023-07-31
2024-04-30,SCL,12,2023-08-31
2024-04-30,SCL,12,2023-09-30
2024-04-30,SCL,12,2023-10-31
2024-04-30,SCL,12,2023-11-30
2024-04-30,SCL,12,2023-12-31
2024-04-30,SCL,12,2024-01-31
2024-04-30,SCL,12,2024-02-29
2024-04-30,SCL,12,2024-03-31
2024-04-30,SCL,12,2024-04-30
2024-04-30,SPL,1,2021-10-31
2024-04-30,SPL,1,2021-11-30
2024-04-30,SPL,1,2021-12-31
2024-04-30,SPL,1,2022-01-31
2024-04-30,SPL,1,2022-02-28
2024-04-30,SPL,1,2022-03-31
2024-04-30,SPL,1,2022-04-30
2024-04-30,SPL,1,2022-05-31
2024-04-30,SPL,1,2022-06-30
2024-04-30,SPL,1,2022-07-31
2024-04-30,SPL,1,2022-08-31
2024-04-30,SPL,1,2022-09-30
2024-04-30,SPL,1,2022-10-31
2024-04-30,SPL,1,2022-11-30
2024-04-30,SPL,1,2022-12-31
2024-04-30,SPL,1,2023-01-31
2024-04-30,SPL,1,2023-02-28
2024-04-30,SPL,1,2023-03-31
2024-04-30,SPL,1,2023-04-30
2024-04-30,SPL,1,2023-05-31
2024-04-30,SPL,1,2023-06-30
2024-04-30,SPL,1,2023-07-31
2024-04-30,SPL,1,2023-08-31
2024-04-30,SPL,1,2023-09-30
2024-04-30,SPL,1,2023-10-31
2024-04-30,SPL,1,2023-11-30
2024-04-30,SPL,1,2023-12-31
2024-04-30,SPL,1,2024-01-31
2024-04-30,SPL,1,2024-02-29
2024-04-30,SPL,1,2024-03-31
2024-04-30,SPL,1,2024-04-30
2024-04-30,SPL,3,2021-10-31
2024-04-30,SPL,3,2021-11-30
2024-04-30,SPL,3,2021-12-31
2024-04-30,SPL,3,2022-01-31
2024-04-30,SPL,3,2022-02-28
2024-04-30,SPL,3,2022-03-31
2024-04-30,SPL,3,2022-04-30
2024-04-30,SPL,3,2022-05-31
2024-04-30,SPL,3,2022-06-30
2024-04-30,SPL,3,2022-07-31
2024-04-30,SPL,3,2022-08-31
2024-04-30,SPL,3,2022-09-30
2024-04-30,SPL,3,2022-10-31
2024-04-30,SPL,3,2022-11-30
2024-04-30,SPL,3,2022-12-31
2024-04-30,SPL,3,2023-01-31
2024-04-30,SPL,3,2023-02-28
2024-04-30,SPL,3,2023-03-31
2024-04-30,SPL,3,2023-04-30
2024-04-30,SPL,3,2023-05-31
2024-04-30,SPL,3,2023-06-30
2024-04-30,SPL,3,2023-07-31
2024-04-30,SPL,3,2023-08-31
2024-04-30,SPL,3,2023-09-30
2024-04-30,SPL,3,2023-10-31
2024-04-30,SPL,3,2023-11-30
2024-04-30,SPL,3,2023-12-31
2024-04-30,SPL,3,2024-01-31
2024-04-30,SPL,3,2024-02-29
2024-04-30,SPL,3,2024-03-31
2024-04-30,SPL,3,2024-04-30
2024-04-30,SPL,6,2021-10-31
2024-04-30,SPL,6,2021-11-30
2024-04-30,SPL,6,2021-12-31
2024-04-30,SPL,6,2022-01-31
2024-04-30,SPL,6,2022-02-28
2024-04-30,SPL,6,2022-03-31
2024-04-30,SPL,6,2022-04-30
2024-04-30,SPL,6,2022-05-31
2024-04-30,SPL,6,2022-06-30
2024-04-30,SPL,6,2022-07-31
2024-04-30,SPL,6,2022-08-31
2024-04-30,SPL,6,2022-09-30
2024-04-30,SPL,6,2022-10-31
2024-04-30,SPL,6,2022-11-30
2024-04-30,SPL,6,2022-12-31
2024-04-30,SPL,6,2023-01-31
2024-04-30,SPL,6,2023-02-28
2024-04-30,SPL,6,2023-03-31
2024-04-30,SPL,6,2023-04-30
2024-04-30,SPL,6,2023-05-31
2024-04-30,SPL,6,2023-06-30
2024-04-30,SPL,6,2023-07-31
2024-04-30,SPL,6,2023-08-31
2024-04-30,SPL,6,2023-09-30
2024-04-30,SPL,6,2023-10-31
2024-04-30,SPL,6,2023-11-30
2024-04-30,SPL,6,2023-12-31
2024-04-30,SPL,6,2024-01-31
2024-04-30,SPL,6,2024-02-29
2024-04-30,SPL,6,2024-03-31
2024-04-30,SPL,6,2024-04-30
2024-04-30,SPL,12,2021-10-31
2024-04-30,SPL,12,2021-11-30
2024-04-30,SPL,12,2021-12-31
2024-04-30,SPL,12,2022-01-31
2024-04-30,SPL,12,2022-02-28
2024-04-30,SPL,12,2022-03-31
2024-04-30,SPL,12,2022-04-30
2024-04-30,SPL,12,2022-05-31
2024-04-30,SPL,12,2022-06-30
2024-04-30,SPL,12,2022-07-31
2024-04-30,SPL,12,2022-08-31
2024-04-30,SPL,12,2022-09-30
2024-04-30,SPL,12,2022-10-31
2024-04-30,SPL,12,2022-11-30
2024-04-30,SPL,12,2022-12-31
2024-04-30,SPL,12,2023-01-31
2024-04-30,SPL,12,2023-02-28
2024-04-30,SPL,12,2023-03-31
2024-04-30,SPL,12,2023-04-30
2024-04-30,SPL,12,2023-05-31
2024-04-30,SPL,12,2023-06-30
2024-04-30,SPL,12,2023-07-31
2024-04-30,SPL,12,2023-08-31
2024-04-30,SPL,12,2023-09-30
2024-04-30,SPL,12,2023-10-31
2024-04-30,SPL,12,2023-11-30
2024-04-30,SPL,12,2023-12-31
2024-04-30,SPL,12,2024-01-31
2024-04-30,SPL,12,2024-02-29
2024-04-30,SPL,12,2024-03-31
2024-04-30,SPL,12,2024-04-30
2024-04-30,SPL,18,2021-10-31
2024-04-30,SPL,18,2021-11-30
2024-04-30,SPL,18,2021-12-31
2024-04-30,SPL,18,2022-01-31
2024-04-30,SPL,18,2022-02-28
2024-04-30,SPL,18,2022-03-31
2024-04-30,SPL,18,2022-04-30
2024-04-30,SPL,18,2022-05-31
2024-04-30,SPL,18,2022-06-30
2024-04-30,SPL,18,2022-07-31
2024-04-30,SPL,18,2022-08-31
2024-04-30,SPL,18,2022-09-30
2024-04-30,SPL,18,2022-10-31
2024-04-30,SPL,18,2022-11-30
2024-04-30,SPL,18,2022-12-31
2024-04-30,SPL,18,2023-01-31
2024-04-30,SPL,18,2023-02-28
2024-04-30,SPL,18,2023-03-31
2024-04-30,SPL,18,2023-04-30
2024-04-30,SPL,18,2023-05-31
2024-04-30,SPL,18,2023-06-30
2024-04-30,SPL,18,2023-07-31
2024-04-30,SPL,18,2023-08-31
2024-04-30,SPL,18,2023-09-30
2024-04-30,SPL,18,2023-10-31
2024-04-30,SPL,18,2023-11-30
2024-04-30,SPL,18,2023-12-31
2024-04-30,SPL,18,2024-01-31
2024-04-30,SPL,18,2024-02-29
2024-04-30,SPL,18,2024-03-31
2024-04-30,SPL,18,2024-04-30
2024-04-30,SPL,24,2021-10-31
2024-04-30,SPL,24,2021-11-30
2024-04-30,SPL,24,2021-12-31
2024-04-30,SPL,24,2022-01-31
2024-04-30,SPL,24,2022-02-28
2024-04-30,SPL,24,2022-03-31
2024-04-30,SPL,24,2022-04-30
2024-04-30,SPL,24,2022-05-31
2024-04-30,SPL,24,2022-06-30
2024-04-30,SPL,24,2022-07-31
2024-04-30,SPL,24,2022-08-31
2024-04-30,SPL,24,2022-09-30
2024-04-30,SPL,24,2022-10-31
2024-04-30,SPL,24,2022-11-30
2024-04-30,SPL,24,2022-12-31
2024-04-30,SPL,24,2023-01-31
2024-04-30,SPL,24,2023-02-28
2024-04-30,SPL,24,2023-03-31
2024-04-30,SPL,24,2023-04-30
2024-04-30,SPL,24,2023-05-31
2024-04-30,SPL,24,2023-06-30
2024-04-30,SPL,24,2023-07-31
2024-04-30,SPL,24,2023-08-31
2024-04-30,SPL,24,2023-09-30
2024-04-30,SPL,24,2023-10-31
2024-04-30,SPL,24,2023-11-30
2024-04-30,SPL,24,2023-12-31
2024-04-30,SPL,24,2024-01-31
2024-04-30,SPL,24,2024-02-29
2024-04-30,SPL,24,2024-03-31
2024-04-30,SPL,24,2024-04-30
